date,maturity,yield
2025-02-24,15.0,2.894
2025-02-24,20.0,2.912
2025-02-24,30.0,2.851
2025-02-25,0.25,2.881
2025-02-25,0.5,2.894
2025-02-25,0.75,2.825
2025-02-25,1.0,2.78
2025-02-25,1.5,2.788
2025-02-25,2.0,2.809
2025-02-25,2.5,2.834
2025-02-25,3.0,2.836
2025-02-25,4.0,2.862
2025-02-25,5.0,2.906
2025-02-25,7.0,2.957
2025-02-25,10.0,2.988
2025-02-25,15.0,2.888
2025-02-25,20.0,2.914
2025-02-25,30.0,2.846
2025-02-26,0.25,2.878
2025-02-26,0.5,2.892
2025-02-26,0.75,2.826
2025-02-26,1.0,2.792
2025-02-26,1.5,2.788
2025-02-26,2.0,2.809
2025-02-26,2.5,2.824
2025-02-26,3.0,2.831
2025-02-26,4.0,2.846
2025-02-26,5.0,2.881
2025-02-26,7.0,2.921
2025-02-26,10.0,2.946
2025-02-26,15.0,2.855
2025-02-26,20.0,2.865
2025-02-26,30.0,2.796
2025-02-27,0.25,2.879
2025-02-27,0.5,2.891
2025-02-27,0.75,2.83
2025-02-27,1.0,2.801
2025-02-27,1.5,2.801
2025-02-27,2.0,2.809
2025-02-27,2.5,2.822
2025-02-27,3.0,2.83
2025-02-27,4.0,2.846
2025-02-27,5.0,2.876
2025-02-27,7.0,2.921
2025-02-27,10.0,2.944
2025-02-27,15.0,2.86
2025-02-27,20.0,2.86
2025-02-27,30.0,2.786
2025-02-28,0.25,2.878
2025-02-28,0.5,2.891
2025-02-28,0.75,2.831
2025-02-28,1.0,2.796
2025-02-28,1.5,2.781
2025-02-28,2.0,2.785
2025-02-28,2.5,2.794
2025-02-28,3.0,2.797
2025-02-28,4.0,2.809
2025-02-28,5.0,2.833
2025-02-28,7.0,2.88
2025-02-28,10.0,2.895
2025-02-28,15.0,2.828
2025-02-28,20.0,2.81
2025-02-28,30.0,2.743
2025-03-04,0.25,2.866
2025-03-04,0.5,2.884
2025-03-04,0.75,2.831
2025-03-04,1.0,2.794
2025-03-04,1.5,2.777
2025-03-04,2.0,2.784
2025-03-04,2.5,2.782
2025-03-04,3.0,2.78
2025-03-04,4.0,2.802
2025-03-04,5.0,2.834
2025-03-04,7.0,2.884
2025-03-04,10.0,2.902
2025-03-04,15.0,2.845
2025-03-04,20.0,2.823
2025-03-04,30.0,2.76
2025-03-05,0.25,2.861
2025-03-05,0.5,2.879
2025-03-05,0.75,2.836
2025-03-05,1.0,2.804
2025-03-05,1.5,2.797
2025-03-05,2.0,2.813
2025-03-05,2.5,2.815
2025-03-05,3.0,2.813
2025-03-05,4.0,2.842
2025-03-05,5.0,2.883
2025-03-05,7.0,2.934
2025-03-05,10.0,2.971
2025-03-05,15.0,2.905
2025-03-05,20.0,2.873
2025-03-05,30.0,2.808
2025-03-06,0.25,2.861
2025-03-06,0.5,2.874
2025-03-06,0.75,2.839
2025-03-06,1.0,2.806
2025-03-06,1.5,2.804
2025-03-06,2.0,2.828
2025-03-06,2.5,2.834
2025-03-06,3.0,2.836
2025-03-06,4.0,2.863
2025-03-06,5.0,2.908
2025-03-06,7.0,2.962
2025-03-06,10.0,3.0
2025-03-06,15.0,2.937
2025-03-06,20.0,2.898
2025-03-06,30.0,2.809
2025-03-07,0.25,2.86
2025-03-07,0.5,2.878
2025-03-07,0.75,2.843
2025-03-07,1.0,2.805
2025-03-07,1.5,2.799
2025-03-07,2.0,2.798
2025-03-07,2.5,2.804
2025-03-07,3.0,2.81
2025-03-07,4.0,2.831
2025-03-07,5.0,2.871
2025-03-07,7.0,2.926
2025-03-07,10.0,2.957
2025-03-07,15.0,2.896
2025-03-07,20.0,2.855
2025-03-07,30.0,2.772
2025-03-10,0.25,2.857
2025-03-10,0.5,2.876
2025-03-10,0.75,2.844
2025-03-10,1.0,2.812
2025-03-10,1.5,2.819
2025-03-10,2.0,2.827
2025-03-10,2.5,2.843
2025-03-10,3.0,2.842
2025-03-10,4.0,2.866
2025-03-10,5.0,2.905
2025-03-10,7.0,2.965
2025-03-10,10.0,3.001
2025-03-10,15.0,2.93
2025-03-10,20.0,2.877
2025-03-10,30.0,2.796
2025-03-11,0.25,2.843
2025-03-11,0.5,2.866
2025-03-11,0.75,2.833
2025-03-11,1.0,2.803
2025-03-11,1.5,2.804
2025-03-11,2.0,2.8
2025-03-11,2.5,2.815
2025-03-11,3.0,2.798
2025-03-11,4.0,2.827
2025-03-11,5.0,2.874
2025-03-11,7.0,2.919
2025-03-11,10.0,2.955
2025-03-11,15.0,2.892
2025-03-11,20.0,2.844
2025-03-11,30.0,2.757
2025-03-12,0.25,2.841
2025-03-12,0.5,2.861
2025-03-12,0.75,2.83
2025-03-12,1.0,2.798
2025-03-12,1.5,2.793
2025-03-12,2.0,2.794
2025-03-12,2.5,2.806
2025-03-12,3.0,2.797
2025-03-12,4.0,2.817
2025-03-12,5.0,2.865
2025-03-12,7.0,2.919
2025-03-12,10.0,2.959
2025-03-12,15.0,2.892
2025-03-12,20.0,2.843
2025-03-12,30.0,2.764
2025-03-13,0.25,2.846
2025-03-13,0.5,2.866
2025-03-13,0.75,2.838
2025-03-13,1.0,2.809
2025-03-13,1.5,2.806
2025-03-13,2.0,2.805
2025-03-13,2.5,2.821
2025-03-13,3.0,2.816
2025-03-13,4.0,2.831
2025-03-13,5.0,2.879
2025-03-13,7.0,2.933
2025-03-13,10.0,2.976
2025-03-13,15.0,2.906
2025-03-13,20.0,2.856
2025-03-13,30.0,2.778
2025-03-14,0.25,2.848
2025-03-14,0.5,2.868
2025-03-14,0.75,2.84
2025-03-14,1.0,2.813
2025-03-14,1.5,2.813
2025-03-14,2.0,2.818
2025-03-14,2.5,2.838
2025-03-14,3.0,2.834
2025-03-14,4.0,2.846
2025-03-14,5.0,2.888
2025-03-14,7.0,2.959
2025-03-14,10.0,3.013
2025-03-14,15.0,2.923
2025-03-14,20.0,2.866
2025-03-14,30.0,2.788
2025-03-17,0.25,2.845
2025-03-17,0.5,2.866
2025-03-17,0.75,2.842
2025-03-17,1.0,2.81
2025-03-17,1.5,2.814
2025-03-17,2.0,2.82
2025-03-17,2.5,2.85
2025-03-17,3.0,2.847
2025-03-17,4.0,2.859
2025-03-17,5.0,2.887
2025-03-17,7.0,2.954
2025-03-17,10.0,3.003
2025-03-17,15.0,2.916
2025-03-17,20.0,2.86
2025-03-17,30.0,2.788
2025-03-18,0.25,2.844
2025-03-18,0.5,2.866
2025-03-18,0.75,2.84
2025-03-18,1.0,2.809
2025-03-18,1.5,2.813
2025-03-18,2.0,2.82
2025-03-18,2.5,2.85
2025-03-18,3.0,2.846
2025-03-18,4.0,2.866
2025-03-18,5.0,2.9
2025-03-18,7.0,2.957
2025-03-18,10.0,2.99
2025-03-18,15.0,2.903
2025-03-18,20.0,2.847
2025-03-18,30.0,2.773
2025-03-19,0.25,2.844
2025-03-19,0.5,2.866
2025-03-19,0.75,2.84
2025-03-19,1.0,2.81
2025-03-19,1.5,2.823
2025-03-19,2.0,2.833
2025-03-19,2.5,2.864
2025-03-19,3.0,2.865
2025-03-19,4.0,2.874
2025-03-19,5.0,2.919
2025-03-19,7.0,2.971
2025-03-19,10.0,2.997
2025-03-19,15.0,2.898
2025-03-19,20.0,2.832
2025-03-19,30.0,2.755
2025-03-20,0.25,2.847
2025-03-20,0.5,2.865
2025-03-20,0.75,2.839
2025-03-20,1.0,2.806
2025-03-20,1.5,2.818
2025-03-20,2.0,2.83
2025-03-20,2.5,2.846
2025-03-20,3.0,2.846
2025-03-20,4.0,2.861
2025-03-20,5.0,2.916
2025-03-20,7.0,2.962
2025-03-20,10.0,2.992
